Open Time,Open,High,Low,Close,Quote Asset Volume,Open Interest (USD),LSRatio,FearGreedIndex,TwitterIndex
2024-08-10 20:00:00,0.0084355,0.0084985,0.00838,0.008428,46803603.6986954,37583269.35999998,1.4067,40.0,50.0
2024-08-11 00:00:00,0.008428,0.0087682,0.0083984,0.0087274,101737241.4549776,37023874.86399999,1.4062,39.0,50.0
2024-08-11 04:00:00,0.0087276,0.0087701,0.008555,0.0086269,83645103.3560597,42111158.387,1.3969,39.0,50.0
2024-08-11 08:00:00,0.0086272,0.0087838,0.0083899,0.0084327,149623028.063688,42984446.70599999,1.3964,39.0,50.0
2024-08-11 12:00:00,0.0084327,0.0084641,0.0079869,0.008034,201598453.3351315,41403864.43999999,1.4102,39.0,50.0
2024-08-11 16:00:00,0.0080339,0.008125,0.0078376,0.0078439,134257470.2536237,37368393.16499999,1.3832,39.0,50.0
2024-08-11 20:00:00,0.007844,0.0078575,0.0076447,0.007718,160742421.9563378,34171022.40799999,1.3804,39.0,50.0
2024-08-12 00:00:00,0.007718,0.0079492,0.0077001,0.00783,112403974.8161868,32552384.563999992,1.3946,25.0,50.0
2024-08-12 04:00:00,0.00783,0.00805,0.0077042,0.0080146,118239280.210929,34552961.12999998,1.4366,25.0,50.0
2024-08-12 08:00:00,0.0080145,0.0084921,0.0080145,0.008476,234698936.9269003,36152557.272,1.4137,25.0,50.0
2024-08-12 12:00:00,0.0084754,0.0084943,0.0079053,0.008255,410918799.7240388,40683706.391,1.4331,25.0,50.0
2024-08-12 16:00:00,0.0082549,0.0083195,0.0079532,0.0080096,143298818.7345177,36129428.35199998,1.4166,25.0,50.0
2024-08-12 20:00:00,0.0080104,0.0083142,0.0079502,0.0082245,113945502.9168174,35192816.35899998,1.4201,25.0,50.0
2024-08-13 00:00:00,0.0082246,0.0083785,0.0079562,0.0080047,111589486.7935413,35494452.012,1.4178,31.0,50.0
2024-08-13 04:00:00,0.0080047,0.0081283,0.0079075,0.0080425,85002884.5206463,35722085.56,1.4231,31.0,50.0
2024-08-13 08:00:00,0.0080427,0.008062,0.0078855,0.008038,92220342.7165761,36452600.644,1.4462,31.0,50.0
2024-08-13 12:00:00,0.008038,0.0081494,0.0079727,0.0080375,141834317.4010471,36822737.38,1.4349,31.0,50.0
2024-08-13 16:00:00,0.0080374,0.00837,0.008026,0.0081492,191309945.7987497,37398311.795,1.4295,31.0,50.0
2024-08-13 20:00:00,0.0081488,0.0082795,0.0081032,0.0081801,66159982.3337563,36529335.207,1.4096,31.0,50.0
2024-08-14 00:00:00,0.0081801,0.0082512,0.00809,0.0081653,77320413.1849934,36671405.40599999,1.4184,30.0,50.0
2024-08-14 04:00:00,0.0081653,0.008242,0.0081025,0.0082052,84441363.1590979,36311170.719999984,1.4178,30.0,50.0
2024-08-14 08:00:00,0.008205,0.0083297,0.0081467,0.0082783,96777213.627228,39520882.36299999,1.4108,30.0,50.0
2024-08-14 12:00:00,0.0082783,0.00847,0.0079067,0.0080868,311066600.0970402,39535793.24899999,1.4155,30.0,50.0
2024-08-14 16:00:00,0.0080873,0.0081104,0.0079534,0.007991,78020801.4829103,39155318.74799999,1.4337,30.0,50.0
2024-08-14 20:00:00,0.0079909,0.0080702,0.0078957,0.0080066,62976333.4575502,37947680.66799999,1.4319,30.0,50.0
2024-08-15 00:00:00,0.0080065,0.0080598,0.0078902,0.0079651,69933597.8966621,37497096.829999976,1.4414,29.0,50.0
2024-08-15 04:00:00,0.007965,0.0080026,0.0077298,0.0078432,110864753.7313318,38390159.00999999,1.4366,29.0,50.0
2024-08-15 08:00:00,0.0078433,0.0079624,0.0078061,0.0079337,82411417.6710683,39269190.88499999,1.4307,29.0,50.0
2024-08-15 12:00:00,0.0079337,0.0080619,0.0078614,0.0080176,150748374.978048,40821665.707,1.3992,29.0,50.0
2024-08-15 16:00:00,0.0080175,0.0080487,0.0074028,0.0075094,243367859.8612252,40187273.21599998,1.4096,29.0,50.0
2024-08-15 20:00:00,0.0075082,0.0075103,0.0072001,0.0074418,178666271.3674795,37180576.65,1.4319,29.0,50.0
2024-08-16 00:00:00,0.0074418,0.0075847,0.0073558,0.0073979,106007972.2194811,36766910.762,1.4456,27.0,50.0
2024-08-16 04:00:00,0.007398,0.0075582,0.007338,0.0075021,84119255.7427932,38822020.479,1.4576,27.0,50.0
2024-08-16 08:00:00,0.0075021,0.00752,0.0072973,0.0073503,80532658.556042,40097867.278999984,1.4564,27.0,50.0
2024-08-16 12:00:00,0.0073505,0.0074194,0.0069112,0.0070022,330816936.4023698,39501873.887,1.4384,27.0,50.0
2024-08-16 16:00:00,0.007002,0.0073,0.0068622,0.0072414,250682935.0072668,39931594.207,1.4349,27.0,50.0
2024-08-16 20:00:00,0.0072419,0.0073394,0.007136,0.0071743,94772271.8590171,40921342.05399999,1.4432,27.0,50.0
