Open Time,Open,High,Low,Close,Quote Asset Volume,Open Interest (USD),LSRatio,FearGreedIndex,TwitterIndex
2024-07-18 15:00:00,157.893,157.952,155.862,156.291,185888296.979,291158828.85959995,1.3958,61.0,50.0
2024-07-18 16:00:00,156.291,157.596,155.07,157.449,123324930.158,293311296.28800005,1.4033,61.0,50.0
2024-07-18 17:00:00,157.454,157.602,155.693,155.946,47794478.063,299925796.0932001,1.4131,61.0,50.0
2024-07-18 18:00:00,155.946,157.344,155.244,156.352,81094064.538,297863439.5904001,1.4062,61.0,50.0
2024-07-18 19:00:00,156.352,157.466,155.455,156.912,53529982.361,299053032.29190004,1.4073,61.0,50.0
2024-07-18 20:00:00,156.913,157.962,156.3,157.918,41925507.378,299523616.1995001,1.4038,61.0,50.0
2024-07-18 21:00:00,157.916,158.411,157.374,158.306,37636515.981,302347807.5716001,1.4038,61.0,50.0
2024-07-18 22:00:00,158.307,160.297,157.84,159.9,66504119.848,304142539.8105,1.4062,61.0,50.0
2024-07-18 23:00:00,159.899,160.194,158.821,159.146,35615552.17,310820091.1036001,1.4085,61.0,50.0
2024-07-19 00:00:00,159.147,159.359,157.68,158.0,67970289.005,310220038.4006,1.4062,60.0,50.0
2024-07-19 01:00:00,158.001,158.537,156.068,158.483,78812062.197,311212917.97920007,1.405,60.0,50.0
2024-07-19 02:00:00,158.482,159.749,157.916,158.703,80516824.057,313889379.9405,1.4079,60.0,50.0
2024-07-19 03:00:00,158.703,161.976,158.577,161.788,122863432.292,318093563.47950006,1.3998,60.0,50.0
2024-07-19 04:00:00,161.788,162.399,160.72,160.759,79112095.109,328978023.3712,1.3929,60.0,50.0
2024-07-19 05:00:00,160.758,162.3,160.586,162.164,60086667.713,327127770.679,1.3901,60.0,50.0
2024-07-19 06:00:00,162.165,165.666,162.015,164.44,242734097.799,335809359.414,1.3889,60.0,50.0
2024-07-19 07:00:00,164.441,164.483,160.8,161.356,210782581.258,350049464.6374001,1.3602,60.0,50.0
2024-07-19 08:00:00,161.36,162.307,159.164,161.786,216790388.182,342910959.2352,1.3674,60.0,50.0
2024-07-19 09:00:00,161.786,163.555,160.013,160.535,162400694.422,342074725.26399994,1.3747,60.0,50.0
2024-07-19 10:00:00,160.534,162.97,160.25,161.972,104778371.335,340638381.6528,1.3652,60.0,50.0
2024-07-19 11:00:00,161.973,162.86,161.6,162.602,52743258.277,346442196.95550007,1.3585,60.0,50.0
2024-07-19 12:00:00,162.602,164.288,162.171,163.769,121887078.469,350022228.198,1.3496,60.0,50.0
2024-07-19 13:00:00,163.768,167.9,162.246,166.988,325672360.406,353395019.4811,1.3507,60.0,50.0
2024-07-19 14:00:00,166.977,168.777,166.483,168.569,275560356.487,363294052.83,1.3332,60.0,50.0
2024-07-19 15:00:00,168.569,169.0,167.0,168.744,204158774.491,371244710.916,1.3026,60.0,50.0
2024-07-19 16:00:00,168.743,172.585,168.718,169.275,356938080.811,376148269.125,1.2878,60.0,50.0
2024-07-19 17:00:00,169.275,170.668,168.811,170.478,118607526.658,371271603.4488001,1.2967,60.0,50.0
2024-07-19 18:00:00,170.478,170.545,168.175,169.751,109218110.838,368008461.7,1.3047,60.0,50.0
2024-07-19 19:00:00,169.751,170.884,169.4,170.322,119058650.931,370212807.7313,1.301,60.0,50.0
2024-07-19 20:00:00,170.323,170.451,168.603,169.071,76680119.27,375696611.6796,1.2989,60.0,50.0
2024-07-19 21:00:00,169.064,169.874,167.856,167.995,50720022.814,369698448.2535,1.2967,60.0,50.0
2024-07-19 22:00:00,167.987,169.307,167.987,168.738,32962944.025,368277375.1887999,1.302,60.0,50.0
2024-07-19 23:00:00,168.738,169.591,168.637,169.064,34146129.901,370396307.981,1.3026,60.0,50.0
2024-07-20 00:00:00,169.064,169.799,168.192,169.367,61199881.837,372780046.4499,1.302,74.0,50.0
2024-07-20 01:00:00,169.367,170.839,169.221,170.156,72563381.843,374437137.7998,1.3036,74.0,50.0
2024-07-20 02:00:00,170.155,171.8,169.739,170.872,84758755.523,376061398.386,1.3063,74.0,50.0
2024-07-20 03:00:00,170.871,171.45,169.401,169.489,66979848.752,378712990.0226,1.3116,74.0,50.0
2024-07-20 04:00:00,169.489,170.326,169.4,170.24,35011941.98,374367685.9212,1.3137,74.0,50.0
2024-07-20 05:00:00,170.241,170.241,169.12,169.841,34006346.889,376987991.06999993,1.317,74.0,50.0
2024-07-20 06:00:00,169.84,170.258,168.804,169.161,49652073.599,375987548.3925,1.3143,74.0,50.0
2024-07-20 07:00:00,169.161,169.39,168.383,168.483,54055341.682,370721937.0416,1.318,74.0,50.0
2024-07-20 08:00:00,168.489,169.292,168.244,168.567,50561147.327,368820406.9197,1.318,74.0,50.0
2024-07-20 09:00:00,168.568,169.787,168.12,168.958,49238294.79,369594039.948,1.3202,74.0,50.0
2024-07-20 10:00:00,168.959,169.417,168.35,168.559,28368981.616,370307641.0892,1.3202,74.0,50.0
2024-07-20 11:00:00,168.559,168.748,167.541,167.979,49733275.867,369717975.297,1.3223,74.0,50.0
2024-07-20 12:00:00,167.979,168.887,167.903,168.33,36626910.221,366560124.0,1.3218,74.0,50.0
2024-07-20 13:00:00,168.33,168.659,167.187,168.14,78294759.176,366416052.33,1.3202,74.0,50.0
2024-07-20 14:00:00,168.144,169.376,167.959,168.971,49521825.234,362901465.85,1.3186,74.0,50.0
2024-07-20 15:00:00,168.97,169.658,168.603,169.171,43090752.643,364289850.4743001,1.3321,74.0,50.0
2024-07-20 16:00:00,169.17,170.333,168.77,169.576,73177061.449,362977933.075,1.3348,74.0,50.0
2024-07-20 17:00:00,169.577,174.6,169.221,174.214,268065865.808,363159506.5674001,1.3381,74.0,50.0
2024-07-20 18:00:00,174.214,174.561,173.046,173.49,98810357.125,366553981.1329,1.3202,74.0,50.0
2024-07-20 19:00:00,173.489,174.084,172.044,172.347,82920873.181,366080523.7650001,1.3137,74.0,50.0
2024-07-20 20:00:00,172.348,174.017,172.348,173.603,44800462.537,363791744.2034001,1.317,74.0,50.0
2024-07-20 21:00:00,173.605,174.519,172.624,174.423,98575485.178,369565820.5908001,1.3164,74.0,50.0
2024-07-20 22:00:00,174.423,175.497,172.833,173.344,87853432.376,370137988.0752001,1.3116,74.0,50.0
2024-07-20 23:00:00,173.328,174.294,173.143,173.532,38570664.815,368091379.599,1.3159,74.0,50.0
2024-07-21 00:00:00,173.546,174.135,172.689,172.882,51692006.417,373010164.8030001,1.3159,74.0,50.0
2024-07-21 01:00:00,172.882,174.46,172.882,174.015,45667524.364,371972250.9009,1.3207,74.0,50.0
2024-07-21 02:00:00,174.015,175.5,173.399,173.439,77196613.122,377837229.206,1.3207,74.0,50.0
2024-07-21 03:00:00,173.444,173.989,173.007,173.079,41788694.532,384393561.3232,1.3218,74.0,50.0
2024-07-21 04:00:00,173.079,173.701,172.86,173.03,37379455.525,385140194.9459999,1.325,74.0,50.0
2024-07-21 05:00:00,173.03,173.408,172.368,173.088,45489321.622,384887860.9685,1.3229,74.0,50.0
2024-07-21 06:00:00,173.087,173.36,171.09,171.3,96252882.7,384577888.8672,1.3213,74.0,50.0
2024-07-21 07:00:00,171.3,171.931,170.906,171.26,58580891.148,377021057.6625997,1.3159,74.0,50.0
2024-07-21 08:00:00,171.26,171.956,171.183,171.381,37913742.415,374832377.907,1.3186,74.0,50.0
2024-07-21 09:00:00,171.381,172.612,171.209,172.579,51626102.861,375265112.8719999,1.3207,74.0,50.0
2024-07-21 10:00:00,172.579,172.929,172.046,172.112,38587732.422,377553944.6909999,1.3288,74.0,50.0
